X,Y,Latitude,Longitude,FID
-79.932955,40.382894,-79.932955,40.382894,1
-79.915719,40.415188,-79.915719,40.415188,2
-79.908965,40.467302,-79.908965,40.467302,3
-79.973358,40.455982,-79.973358,40.455982,4
-79.95035,40.426503,-79.95035,40.426503,5
-79.976787,40.4236,-79.976787,40.4236,6
-80.006282,40.410376,-80.006282,40.410376,7
-79.997598,40.394508,-79.997598,40.394508,8
-79.981175,40.465704,-79.981175,40.465704,9
-80.00791,40.471147,-80.00791,40.471147,10
-80.007624,40.476733,-80.007624,40.476733,11
-80.0103,40.451199,-80.0103,40.451199,12
-80.029865,40.432687,-80.029865,40.432687,13
-80.053522,40.464924,-80.053522,40.464924,14
-79.933466,40.456248,-79.933466,40.456248,15
-79.937864,40.428495,-79.937864,40.428495,16
-79.97966,40.464185,-79.97966,40.464185,17
-80.004974,40.472351,-80.004974,40.472351,18
-80.01067,40.451619,-80.01067,40.451619,19
-80.014653,40.453907,-80.014653,40.453907,20
-79.918949,40.46462,-79.918949,40.46462,21
-79.900339,40.439504,-79.900339,40.439504,22
-79.94297,40.454593,-79.94297,40.454593,23
-79.950134,40.434416,-79.950134,40.434416,24
-80.03367,40.440079,-80.03367,40.440079,25
-80.030998,40.43378,-80.030998,40.43378,26
-80.06376,40.427402,-80.06376,40.427402,27
-80.06438,40.428026,-80.06438,40.428026,28
-80.054452,40.461075,-80.054452,40.461075,29
-79.934686,40.379957,-79.934686,40.379957,30
-79.932864,40.383558,-79.932864,40.383558,31
-79.933357,40.383357,-79.933357,40.383357,32
-79.944165,40.406935,-79.944165,40.406935,33
-79.943892,40.403652,-79.943892,40.403652,34
-79.906117,40.42611,-79.906117,40.42611,35
-79.900899,40.453554,-79.900899,40.453554,36
-79.907602,40.467719,-79.907602,40.467719,37
-79.935292,40.454701,-79.935292,40.454701,38
-79.947481,40.456981,-79.947481,40.456981,39
-79.926884,40.426982,-79.926884,40.426982,40
-79.917362,40.48113,-79.917362,40.48113,41
-80.00448,40.437931,-80.00448,40.437931,42
-79.985588,40.42567,-79.985588,40.42567,43
-79.98859,40.423195,-79.98859,40.423195,44
-79.974319,40.423228,-79.974319,40.423228,45
-79.963639,40.409702,-79.963639,40.409702,46
-79.968446,40.412341,-79.968446,40.412341,47
-80.003876,40.406147,-80.003876,40.406147,48
-79.997569,40.392848,-79.997569,40.392848,49
-79.996899,40.387774,-79.996899,40.387774,50
-79.995666,40.385156,-79.995666,40.385156,51
-79.993742,40.378921,-79.993742,40.378921,52
-79.994544,40.376763,-79.994544,40.376763,53
-79.979083,40.463981,-79.979083,40.463981,54
-79.987711,40.458409,-79.987711,40.458409,55
-79.998132,40.456501,-79.998132,40.456501,56
-79.998829,40.457553,-79.998829,40.457553,57
-79.999482,40.462523,-79.999482,40.462523,58
-80.045411,40.485794,-80.045411,40.485794,59
-80.023734,40.458542,-80.023734,40.458542,60
-79.948415,40.431563,-79.948415,40.431563,61
-79.945609,40.438026,-79.945609,40.438026,62
-79.942702,40.435829,-79.942702,40.435829,63
-79.941197,40.435445,-79.941197,40.435445,64
-79.935628,40.43395,-79.935628,40.43395,65
-79.982819,40.43504,-79.982819,40.43504,66
-79.97298,40.436207,-79.97298,40.436207,67
-79.966816,40.434909,-79.966816,40.434909,68
-79.959023,40.431352,-79.959023,40.431352,69
-79.953628,40.426015,-79.953628,40.426015,70
-79.953443,40.426115,-79.953443,40.426115,71
-79.952735,40.424906,-79.952735,40.424906,72
-79.962723,40.427015,-79.962723,40.427015,73
-79.960249,40.428535,-79.960249,40.428535,74
-79.960325,40.428598,-79.960325,40.428598,75
-79.957951,40.429967,-79.957951,40.429967,76
-79.965269,40.42868,-79.965269,40.42868,77
-79.963969,40.42782,-79.963969,40.42782,78
-79.98865,40.426402,-79.98865,40.426402,79
-79.983556,40.425454,-79.983556,40.425454,80
-79.957703,40.45877,-79.957703,40.45877,81
-79.931446,40.383293,-79.931446,40.383293,82
-79.981655,40.460248,-79.981655,40.460248,83
-80.000306,40.436207,-80.000306,40.436207,84
-80.022232,40.411177,-80.022232,40.411177,85
-79.99129,40.456243,-79.99129,40.456243,86
-80.007732,40.483086,-80.007732,40.483086,87
-80.034335,40.407156,-80.034335,40.407156,88
-80.062007,40.427178,-80.062007,40.427178,89
-80.059866,40.426717,-80.059866,40.426717,90
-80.05714,40.426626,-80.05714,40.426626,91
-80.054534,40.452909,-80.054534,40.452909,92
-80.04012,40.452476,-80.04012,40.452476,93
-79.90553,40.462636,-79.90553,40.462636,94
-79.916026,40.466991,-79.916026,40.466991,95
-79.918858,40.464763,-79.918858,40.464763,96
-79.925107,40.459024,-79.925107,40.459024,97
-79.937362,40.45388,-79.937362,40.45388,98
-79.966445,40.460322,-79.966445,40.460322,99
-79.946769,40.437144,-79.946769,40.437144,100
-79.949154,40.441316,-79.949154,40.441316,101
-79.919878,40.483135,-79.919878,40.483135,102
-80.002714,40.43731,-80.002714,40.43731,103
-80.001998,40.430536,-80.001998,40.430536,104
-80.002408,40.430386,-80.002408,40.430386,105
-80.012315,40.435476,-80.012315,40.435476,106
-79.99282,40.427812,-79.99282,40.427812,107
-79.997424,40.42903,-79.997424,40.42903,108
-80.014993,40.417036,-80.014993,40.417036,109
-80.001087,40.402017,-80.001087,40.402017,110
-79.988268,40.457792,-79.988268,40.457792,111
-79.994309,40.454615,-79.994309,40.454615,112
-79.998341,40.457095,-79.998341,40.457095,113
-80.03266,40.476024,-80.03266,40.476024,114
-80.036894,40.471616,-80.036894,40.471616,115
-80.042503,40.481342,-80.042503,40.481342,116
-80.017973,40.455622,-80.017973,40.455622,117
-80.030757,40.44311,-80.030757,40.44311,118
-80.01472,40.44508,-80.01472,40.44508,119
-79.996503,40.446403,-79.996503,40.446403,120
-80.004882,40.437932,-80.004882,40.437932,121
-79.920995,40.459967,-79.920995,40.459967,122
-79.944153,40.455287,-79.944153,40.455287,123
-79.955006,40.461304,-79.955006,40.461304,124
-79.960467,40.457982,-79.960467,40.457982,125
-79.957732,40.45871,-79.957732,40.45871,126
-79.946631,40.435314,-79.946631,40.435314,127
-79.947334,40.435057,-79.947334,40.435057,128
-79.94675,40.444526,-79.94675,40.444526,129
-80.005846,40.43847,-80.005846,40.43847,130
-79.99579,40.381602,-79.99579,40.381602,131
-80.001902,40.436882,-80.001902,40.436882,132
-80.006048,40.443459,-80.006048,40.443459,133
-80.009402,40.444308,-80.009402,40.444308,134
-79.965845,40.455768,-79.965845,40.455768,135
-80.036115,40.450357,-80.036115,40.450357,136
-80.033984,40.437953,-80.033984,40.437953,137
-79.932493,40.387768,-79.932493,40.387768,138
-79.95528,40.427687,-79.95528,40.427687,139
-79.999092,40.398709,-79.999092,40.398709,140
-80.040833,40.476011,-80.040833,40.476011,141
-80.025798,40.481751,-80.025798,40.481751,142
-80.012758,40.452941,-80.012758,40.452941,143
