District Council,Apartment,Detached,Semi-Detached,Terrace,Total Housing Stock
Antrim and Newtownabbey,6382,19570,15308,17010,58270
"Armagh City, Banbridge and Craigavon",4150,34998,19527,23815,82490
Belfast,32608,14773,41231,67527,156139
Causeway Coast and Glens,5358,28485,15614,13491,62948
Derry City and Strabane,6210,17875,15323,21063,60471
Fermanagh and Omagh,2591,28700,7977,8752,48020
Lisburn and Castlereagh,5399,22004,17298,13279,57980
Mid and East Antrim,5729,23346,12798,16819,58692
Mid Ulster,1959,28556,11439,10694,52648
"Newry, Mourne and Down",4542,32836,16238,14996,68612
Ards and North Down,7620,25673,19463,17500,70256
Northern Ireland,82548,276816,192216,224946,776526
