Academic Year,Disabled,Not disabled/unknown,Total
Up to 31 July 2003,449,3560,4009
1 August 2003 - 31 July 2004,1456,7645,9101
1 August 2004 - 31 July 2005,1732,11329,13061
1 August 2005 - 31 July 2006,2123,15136,17259
1 August 2006 - 31 July 2007,2355,17903,20258
1 August 2007 - 31 July 2008,2699,22848,25547
1 August 2008 - 31 July 2009,1278,33692,34970
1 August 2009 - 31 July 2010,1743,48138,49881
1 August 2010 - 31 July 2011,3367,56634,60001
1 August 2011 - 31 July 2012,3412,55800,59212
1 August 2012 - 31 July 2013,3297,48438,51735
1 August 2013 - 31 July 2014,3585,42207,45792
