"Station","ID","Type","Type~Def","Easting","Northing"
"BELFAST - ADELAIDE RAIL HALT",13,"R","",332254,371972
"BELFAST - CITY HOSPITAL RAIL HALT",18,"R","",333163,373131
"BELFAST - EUROPA/GVS",19,"I","",333444,373777
"BELFAST - BALMORAL RAIL HALT",14,"R","",331456,370851
"BELFAST - BOTANIC RAIL STATION",15,"R","",333670,373093
"BELFAST - CENTRAL RAIL STATION",17,"R","",334663,373896
"BELFAST - BRIDGE END RAIL HALT",16,"R","",335340,374643
"BELFAST - SYDENHAM RAIL HALT",20,"R","",336625,375090
"BELFAST - YORKGATE RAIL STATION",21,"R","",334254,375736
"BELFAST - LAGANSIDE BUS STATION",21,"B","",334312,374485
"DUNMURRY RAIL HALT",40,"R","",329249,369061
"DERRIAGHY RAIL HALT",36,"R","",328318,367752
"FINAGHY RAIL HALT",42,"R","",330275,370254
"LAMBEG RAIL HALT",53,"R","",327616,366385
"HILDEN RAIL HALT",47,"R","",327651,365560
"WHITEABBEY RAIL HALT",78,"R","HALT",335239,382491
"JORDANSTOWN RAIL STATION",49,"R","",335802,384164
"GREENISLAND RAIL STATION",45,"R","",337168,385650
"TROOPERSLANE RAIL HALT",77,"R","",338702,386846
"DOWNSHIRE RAIL HALT",38,"R","",342459,388145
"CARRICKFERGUS RAIL STATION",25,"R","",341200,387704
"CLIPPERSTOWN RAIL HALT",27,"R","",340755,387682
"WHITEHEAD RAIL HALT",79,"R","",347510,391838
"BALLYCARRY RAIL HALT",5,"R","",346402,394455
"MAGHERAMORNE RAIL HALT",62,"R","",343608,398706
"GLYNN RAIL HALT",44,"R","",340982,399919
"LARNE RAIL STATION",56,"R","",340460,402499
"LARNE HARBOUR RAIL STATION",55,"R","",341523,402231
"LARNE BUS STATION",54,"B","",340090,402159
"HOLLYWOOD RAIL HALT",48,"R","",339566,379167
"MARINO RAIL HALT",63,"R","",340901,379815
"CULTRA RAIL HALT",35,"R","",341713,380465
"SEAHILL RAIL HALT",76,"R","",344061,381462
"HELEN'S BAY RAIL HALT",46,"R","",345785,382163
"CARNALEA RAIL HALT",24,"R","",348063,382183
"BANGOR WEST RAIL HALT",12,"R","",348922,381489
"BANGOR BUS & RAIL",11,"I","",350263,381415
"LISBURN RAIL STATION",59,"R","",326581,364591
"LISBURN BUS STATION",58,"B","",326593,364181
"KNOCKMORE RAIL HALT",50,"R","",325198,364265
"MOIRA RAIL HALT",64,"R","",315819,361885
"LURGAN RAIL STATION",60,"R","",307838,358928
"PORTADOWN RAIL STATION",71,"R","",301113,354192
"SCARVA RAIL HALT",75,"R","",306367,343842
"POYNTZPASS RAIL HALT",74,"R","",306049,339455
"NEWRY RAIL STATION",68,"R","",306933,327830
"NEWRY BUS STATION",67,"B","",308480,326367
"NEWCASTLE BUS STATION",66,"B","",337892,331627
"NEWTOWNARDS BUS STATION",69,"B","",348723,374245
"MOSSLEY WEST RAIL HALT",65,"R","",332106,385119
"DOWNPATRICK BUS STATION",37,"B","",348365,344267
"BALLINDERRY RAIL HALT",4,"R","",316297,367762
"GLENAVY RAIL HALT",43,"R","",315432,372619
"CRUMLIN RAIL HALT",33,"R","",315561,376249
"ANTRIM RAIL STATION",2,"R","",315325,386992
"ANTRIM BUS STATION",1,"B","",315242,387025
"BALLYMENA RAIL STATION",8,"R","",310166,403192
"BALLYMENA BUS STATION",7,"B","",309995,403130
"BALLYMONEY RAIL STATION",9,"R","NIR ST",294987,425348
"COLERAINE BUS & RAIL",28,"I","STATION",285370,432601
"COLERAINE UNIVERSITY RAIL HALT",29,"R","HALT",284954,434499
"PORTRUSH RAIL STATION",72,"R","NIR ST",285768,440418
"L'DERRY RAIL STATION",52,"R","NIR ST",243932,416219
"L'DERRY BUS STATION",51,"B","BUS ST",243513,416991
"CASTLEROCK RAIL HALT",26,"R","HALT",277353,435978
"BELLARENA RAIL HALT",23,"R","HALT",266870,431503
"PORTRUSH DHU VARREN RAIL HALT",73,"R","HALT",285302,439608
"ARMAGH BUS STATION",3,"B","BUS ST",287568,345496
"BALLYCLARE BUS STATION",6,"B","BUS ST",328968,390775
"ENNISKILLEN BUS STATION",41,"B","BUS ST",223452,343947
"OMAGH BUS STATION",70,"B","BUS ST",245244,372816
"DUNGANNON BUS STATION",39,"B","BUS ST",279436,362055
"LIMAVADY BUS STATION",57,"B","BUS ST",267159,423608
"CRAIGAVON BUS STATION",32,"B","BUS ST",303972,356798
"MAGHERAFELT BUS STATION",61,"B","BUS ST",289651,390657
"COOKSTOWN BUS STATION",31,"B","BUS ST",281328,378328
"COMBER BUS STATION",30,"B","BUS ST",346009,369177
"BANBRIDGE BUS STATION",10,"B","BUS ST",312667,345925
